Power,N,HostMallocTime_ms,CudaMallocTime_ms,MemcpyH2DTime_ms,KernelTime_ms,MemcpyD2HTime_ms,HostFreeTime_ms
15,32768,0.0130,0.1793,0.1133,8.5491,0.0696,0.1960
16,65536,0.0090,0.1333,0.1645,0.0038,0.0945,0.1490
17,131072,0.0030,0.1103,0.3534,0.0039,0.1731,0.1100
18,262144,0.0130,0.1040,0.6697,0.0031,0.2984,0.1130
19,524288,0.0150,0.1794,1.0474,0.0032,0.4688,0.4360
20,1048576,0.0250,0.1804,1.9095,0.0036,0.8670,0.7100
21,2097152,0.0260,0.2284,3.6532,0.0046,1.7473,1.2600
22,4194304,0.0320,0.3169,7.3931,0.0045,3.7087,2.5110
23,8388608,0.0340,0.3298,16.3957,0.0051,7.6209,4.5650
24,16777216,0.0400,0.2978,29.1023,0.0057,14.8532,8.4030
25,33554432,0.0410,0.3382,58.6757,0.0075,34.4863,14.0030
